Name,Address ,Main Location,Description,Rating,Open time,Close time,Cost for two,Cuisines
Amigo Korean Restaurant,"Gyaslang Complex, Opposite Moravan School, Main Baz",Main Bazaar,casual Dining,-,09:00,22:00,700,Korean
mentokling garden restaurant,"changspa road, zangsti, main bazaar, leh",main bazaar,casual dining,,08:00,23:30,500,"north indian, thai, continental"
amdo cafe,"Himalayan cafe, main bazaar, leh",main bazaar,cafe,,11:00,22:00,500,"cafe, chinese, north indian, mughlai, tibetan"
my cafe,"LBA complex, main bazaar, leh",main bazaar,cafe,,11:00,23:00,500,"cafe, chinese, tibetan"
khosh mazeh biryani,"nowsher gali, main bazaar, leh",main bazaar,quick bites,,12:00,22:30,500,biryani
tulip restaurant,"old fort road, main bazaar, leh",main bazaar,casual dining,,10:00,23:00,600,"north indian, chinese"
Darjeling Restaurant,"main market, near main bazaar, leh",main bazaar,quick bites,,09:00,18:00,250,chinese
Softy corner,"near tibetan market leh, skara road leh",skara road,,,10:00,20:00,150,"ice cream, beverages"
Grand waswan planet,"opposite SNM hospital anjuman complex, main bazaar, leh",main bazaar,casual dining,,10:00,22:00,800,kashmiri
the wok tibetan kitchen,"main bazaar, leh",main bazaar,quick bites,,11:00,20:00,300,"chinese, tibetan"
palkhang restaurant,"f1st florr, geri complex, opp tibetan market, old road, main bazaar, leh",main bazaar,casual dining,,11:00,22:00,500,"North indian, tibetan"
yum yum food and cafe,"DB 2, LBA complex, main bazaar, leh",main bazaar,quick bites,,07:00,23:00,400,"chinese, fast food"
100% pure veg,"moti market, main bazaar, leh",main bazaar,quick bites,,11:00,21:00,200,tibetan
ladakh biker's garden and restaurant,"upper tukcha road, goji malpak, near zangsti parking, main bazaar, leh",main bazaar,casual dining,,08:00,23:00,500,"north indian, italian, thai"
Leh view,"Main bazaar, leh",main bazaar,casual dining,,10:00,23:00,600,"italian, continental, north indian"
Gohil's,"Main bazaar, leh",main bazaar,,,11:00,22:00,400,north indian
tenzin dickey tibitan,"Fort road, main bazaar, leh",main bazaar,Casual dining,,11:00,20:00,400,tibetan
cafe tbq,"chalung house, shenam, fort road, main bazaar, leh",main bazaar,cafe,,08:00,22:00,800,cafe
meal mastiyaan,"2nd floor, 1, Al hayat building, main bazaar, leh",main bazaar,quick bites,,10:30,21:30,300,"north indian, italian"
cups and cones,"Main bazaar, leh",main bazaar,dessert parlour,,11:00,22:00,150,"ice cream, desserts"
crazy bites,"mango complex, main bazaar, leh",main bazaar,quick bites,,11:00,23:00,350,"north indian, chinese"
taste of south india,"balkhang chowk, opp airtel office, main bazaar, leh",main bazaar,quick bites,,10:00,20:00,400,south indian
happy world,"Fort road, main bazaar, leh",main bazaar,Casual dining,,07:00,23:00,500,"italian, continental, north indian"
tandy's fried chicken,"1st floor, AMI complex, main bazaar, leh",main bazaar,quick bites,,09:30,21:30,500,fast food
de khambir,"1st floor, hemis zambala complex, zangsti road, near main bazaar, leh",main bazaar,quick bites,,09:00,20:00,500,"North indian, tibetan"
lehling coffee shop,"Main bazaar, leh",main bazaar,Casual dining,,11:00,22:00,400,"chinese, tibetan, cafe"
lazil restaurant,"2nd floor, mengon complex, main bazaar, leh",main bazaar,Casual dining,,10:00,23:00,600,"north indian, chinese"
jade house,"spangchenmo, chubi road, women alliance lane, main bazaar, leh",main bazaar,cafe,,07:00,23:00,500,tibetan
lazil ladakhi kitchen,"2nd floor, mengon complex, main bazaar, leh",main bazaar,quick bites,,11:00,23:00,500,"chinese, tibetan"
radhu's,"khwa complex, main bazaar, leh",main bazaar,quick bites,,11:00,22:00,500,North indian
cafe ladakh inn,"old leh road, main bazaar, leh",main bazaar,cafe,,11:00,22:00,400,cafe
yama coffee shop,"changspa leh, main bazaar, leh",main bazaar,cafe,,11:00,22:00,400,"cafe, bakery, beverages"
tulip restaurant,"zangsti road, main bazaar, leh",main bazaar,Casual dining,,06:30,22:30,700,"chinese, american, tibetan"
cafe aroma,"hall of fame complex, opposite transit camp, main bazaar, leh",main bazaar,quick bites,,09:00,19:00,400,"chinese, italian, north indian"
cafe casablanca,"1st floor, mangon complex, main bazaar, leh",Main bazaar,cafe,,11:00,23:00,500,"cafe, continental"
Coffe cafe,"Main bazaar, leh",Main bazaar,cafe,,10:00,22:00,300,coffee
Penguin Garden,"Fort road, main bazaar, leh",Main bazaar,Casual dining,,11:00,21:00,500,"North indian, tibetan"
